c1	HP Ontology	HP:0000001	All	All	
c2	HP Ontology	HP:0000002	Abnormality of body height	Abnormality of body height	
c3	HP Ontology	HP:0000003	Multicystic kidney dysplasia	Multicystic renal dysplasia, Multicystic dysplastic kidney, Multicystic kidneys	
c4	HP Ontology	HP:0000005	Mode of inheritance	Inheritance	
c5	HP Ontology	HP:0000006	Autosomal dominant inheritance	monoallelic_autosomal, Autosomal dominant	
c6	HP Ontology	HP:0000007	Autosomal recessive inheritance	Autosomal recessive, biallelic_autosomal	
c7	HP Ontology	HP:0000008	Abnormal morphology of female internal genitalia	Abnormality of female internal genitalia	
c8	HP Ontology	HP:0000009	Functional abnormality of the bladder	Poor bladder function	
c9	HP Ontology	HP:0000010	Recurrent urinary tract infections	Repeated urinary tract infections, Recurrent UTIs, Urinary tract infections, recurrent, Repeated bladder infections, Frequent urinary tract infections, Urinary tract infections	
c10	HP Ontology	HP:0000011	Neurogenic bladder	Lack of bladder control due to nervous system injury	
c11	HP Ontology	HP:0000012	Urinary urgency	Overactive bladder, Urinary urgency	
c12	HP Ontology	HP:0000013	Hypoplasia of the uterus	Hypoplastic uterus, Rudimentary uterus, Small uterus, Underdeveloped uterus	
c13	HP Ontology	HP:0000014	Abnormality of the bladder	Abnormality of the bladder	
c14	HP Ontology	HP:0000015	Bladder diverticulum	Bladder diverticula	
c15	HP Ontology	HP:0000016	Urinary retention	Increased post-void residual urine volume	
c16	HP Ontology	HP:0000017	Nocturia	Nycturia	
c17	HP Ontology	HP:0000019	Urinary hesitancy	Difficulty with flow	
c18	HP Ontology	HP:0000020	Urinary incontinence	Loss of bladder control, Bladder incontinence	
c19	HP Ontology	HP:0000021	Megacystis	Megacystis	
c20	HP Ontology	HP:0000022	Abnormal male internal genitalia morphology	Abnormal male internal genitalia morphology	
c21	HP Ontology	HP:0000023	Inguinal hernia	Inguinal hernia	
c22	HP Ontology	HP:0000024	Prostatitis	Inflammation of the prostate	
c23	HP Ontology	HP:0000025	Functional abnormality of male internal genitalia	Functional abnormality of male internal genitalia	
